Age (in years),CAO Points (100 to 600),"Daily travel to DCU (in km, 0 if on-campus)",Average year 1 exam result (as %),Seat row in class,Gender,Number of older siblings,Number of younger siblings,Old Dublin postcode (0 if outside Dublin),Height (in cm),Weight (in kg),Eye colour,Hair colour,Last 4 digits of your mobile (0000 to 9999),Star sign,Shoe size,Your rating for EXTRAVERSION (vs. introversion),Your rating for INTUITION (vs. observation),Your rating for THINKING (vs. feeling),Your rating for JUDGING (vs. prospecting),Your rating for ASSERTIVE (vs. turbulent)
20.0,540.0,1.0,70.0,1.0,Female,0,1,11,170.0,75.0,Brown,Brown,6263,Gemini,6.0,64,71,35,42,21
19.0,510.0,21.0,65.0,5.0,Female,0,1,0,165.0,62.5,Green,Brown,8007,Taurus,5.5,61,55,61,89,60
19.0,521.0,17.0,67.0,9.0,Female,1,1,15,164.0,65.0,Green,Brown,3308,Sagittarius,4.0,47,66,33,51,36
19.0,517.0,0.0,68.0,5.0,Male,1,1,0,176.0,76.0,Brown,Brown,5870,Pices,11.0,81,80,64,60,56
58.0,509.0,59.0,76.0,12.0,Male,1,4,4,190.0,98.0,Blue,Black,7084,Libra,10.0,32,45,35,49,36
20.0,566.0,1.0,74.0,4.0,Male,1,3,9,190.0,84.0,Brown,Black,3320,Sagittarius,11.0,71,61,41,72,74
19.0,479.0,1.0,86.0,3.0,Male,2,0,9,187.0,87.0,Blue,Brown,949,Virgo,11.0,63,42,43,42,49
19.0,503.0,2.0,70.0,6.0,Male,2,1,9,184.0,70.0,Blue,Brown,6138,Gemini,10.0,45,43,57,53,56
24.0,545.0,6.0,70.0,4.0,Male,1,1,0,182.0,80.0,Blue,Blonde,7721,Leo,9.0,28,66,49,57,57
21.0,350.0,2.0,53.0,9.0,Male,0,1,11,180.0,68.0,Blue,Brown,6944,Leo,9.0,17,38,82,29,69
20.0,545.0,25.0,68.0,4.0,Male,3,1,0,182.0,82.0,Brown,Black,9898,Taurus,9.0,63,51,52,51,51
22.0,520.0,0.0,68.0,4.0,Male,1,1,0,190.0,94.0,Blue,Brown,8421,Leo,11.0,82,52,71,49,40
20.0,552.0,10.0,80.0,4.0,Female,3,0,3,170.0,58.0,Green,Red,987,Gemini,8.0,66,65,40,53,29
19.0,498.0,9.0,65.0,5.0,Female,1,2,13,156.0,55.0,Blue,Brown,2986,Cancer,5.5,64,49,36,39,51
20.0,545.0,4.0,65.0,10.0,Female,3,0,0,163.0,55.0,Blue,Blonde,4230,Scorpio,5.0,63,81,39,65,19
25.0,130.0,2.0,68.0,4.0,Male,2,0,1,181.0,88.0,Blue,Black,7865,Gemini,3.0,73,54,57,82,63
19.0,510.0,103.0,78.0,10.0,Female,2,2,0,160.0,58.0,Brown,Blonde,4920,Pices,5.0,55,66,66,74,74
21.0,540.0,0.0,65.0,12.0,Female,2,0,0,170.0,64.0,Brown,Red,9552,Pices,6.0,49,68,25,56,37
21.0,456.0,18.0,78.0,5.0,Female,1,1,7,169.0,68.0,Brown,Brown,6521,Taurus,8.0,64,46,19,47,32
21.0,565.0,7.0,71.0,3.0,Female,2,1,14,170.0,59.0,Blue,Black,1699,Libra,6.0,64,69,63,58,60
21.0,565.0,7.0,71.0,3.0,Female,2,1,14,170.0,59.0,Blue,Black,1699,Libra,6.0,64,69,63,58,60
20.0,520.0,7.0,62.0,8.0,Female,0,2,7,165.0,70.0,Blue,Black,5289,Taurus,5.0,61,55,66,49,67
20.0,510.0,60.0,65.0,5.0,Male,1,1,0,184.0,85.0,Blue,Brown,5317,Libra,10.0,25,24,49,44,10
23.0,490.0,7.0,70.0,4.0,Female,0,3,7,173.0,73.0,Green,Blonde,4602,Aquarius,7.0,29,23,32,60,32
22.0,500.0,4.0,65.0,4.0,Female,0,3,0,177.0,73.0,Blue,Brown,6402,Leo,7.0,78,68,53,71,63
